[2026-06-10T08:15:13.975Z] GET http://localhost:8765/player-localpc.js → 404 (92ms, ?B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/monitor-live.js → 200 (92ms, 25330B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/monitor-katha.js → 200 (92ms, 12478B)
[2026-06-10T08:15:13.976Z] GET http://localhost:8765/main.js → 404 (90ms, ?B)
[2026-06-10T08:15:14.044Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-06-10T08:15:14.097Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fexample.com → 200 (59ms, 571B)
[2026-06-10T08:15:14.104Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCQXWP4gEdEwlb6vodwrU75A%2Fvideos → 200 (467ms, 1115564B)
[2026-06-10T08:15:14.156Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → 200 (701ms, 1088757B)
[2026-06-10T08:15:14.867Z] GET https://www.youtube.com/oembed?url=https://www.youtube.com/watch?v=u9SEkGgmEbo&format=json → 200 (219ms, ?B)
[2026-06-10T08:15:14.867Z] GET https://www.youtube.com/oembed?url=https://www.youtube.com/watch?v=IxhiaOhb5L4&format=json → 200 (220ms, ?B)
[2026-06-10T08:15:15.094Z] GET https://i.ytimg.com/vi/u9SEkGgmEbo/hqdefault.jpg?v=697b5e7e&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAD8pJpNj4t3DWK_TeIK3KKcMexhw → 200 (143ms, 20554B)
[2026-06-10T08:15:15.094Z] GET https://i.ytimg.com/vi/IxhiaOhb5L4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAglq625oX5_fRVptEW3jQX86GDLA → 200 (142ms, 21866B)
[2026-06-10T08:15:40.212Z] GET http://localhost:8765/index.html → 200 (2ms, 25637B)
[2026-06-10T08:15:40.222Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -768B)
[2026-06-10T08:15:40.223Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (1ms, -743B)
[2026-06-10T08:15:40.224Z] GET http://localhost:8765/styles.css → 200 (1ms, 10410B)
[2026-06-10T08:15:40.224Z] GET https://placehold.co/300x170?text=No+Video → 200 (?ms, -773B)
